date,time,connection,download,dayOfWeek
2019-08-25,14:00:56,0.468,54.8497,7
2019-08-25,14:30:55,0.468,54.0541,7
2019-08-25,15:01:02,0.4524,60.8713,7
2019-08-25,15:30:47,0.4524,46.5505,7
2019-08-25,16:00:46,0.468,45.2089,7
2019-08-25,16:30:48,0.4992,47.5333,7
2019-08-25,17:00:54,0.4524,52.7125,7
2019-08-25,17:30:49,0.5148,47.9857,7
2019-08-25,18:01:02,0.4524,61.3081,7
2019-08-25,18:31:20,0.4524,78.8737,7
2019-08-25,19:01:40,0.4992,99.0602,7
2019-08-25,19:31:22,0.4836,81.4165,7
2019-08-25,20:00:56,0.468,54.9589,7
2019-08-25,20:30:56,0.4368,54.6625,7
2019-08-25,21:02:57,0.468,176.3271,7
2019-08-25,21:32:37,0.4836,156.5151,7
2019-08-25,22:01:08,0.468,67.0801,7
2019-08-25,22:32:01,0.4524,119.8706,7
2019-08-25,23:03:29,1.4664,206.8876,7
2019-08-25,23:31:51,0.4524,110.2298,7
2019-08-31,00:02:11,0.468,129.7766,6
2019-08-31,00:30:57,0.468,56.0977,6
2019-08-31,01:01:10,0.5928,68.3125,6
2019-08-31,01:31:01,0.468,60.4033,6
2019-08-31,02:00:50,0.4368,48.9529,6
2019-08-31,02:30:52,0.4836,51.0901,6
2019-08-31,03:00:48,0.4212,47.4241,6
2019-08-31,03:30:51,0.5772,50.1385,6
2019-08-31,04:00:47,0.4524,45.4897,6
2019-08-31,04:30:53,0.8892,47.8453,6
2019-08-31,05:00:48,0.4368,47.2525,6
2019-08-31,05:30:49,0.4524,48.3601,6
2019-08-31,06:00:47,0.4368,45.6925,6
2019-08-31,06:30:49,0.4836,48.4381,6
2019-08-31,07:00:47,0.4524,46.3945,6
2019-08-31,07:30:59,0.468,57.7669,6
2019-08-31,08:00:52,0.4368,50.7937,6
2019-08-31,08:30:56,0.468,54.9745,6
2019-08-31,09:00:55,0.4836,53.4301,6
2019-08-31,09:30:55,0.468,53.6953,6
2019-08-31,10:00:55,0.4368,53.4925,6
2019-08-31,10:31:02,0.4524,61.4485,6
2019-08-31,11:00:55,0.4524,54.0229,6
2019-08-31,11:31:13,0.4524,72.2437,6
2019-08-31,12:00:52,0.4836,51.4489,6
2019-08-31,12:30:56,0.4524,55.0369,6
2019-08-31,13:00:55,0.4836,53.7733,6
2019-08-31,13:30:51,0.5304,49.6549,6
2019-08-31,14:00:56,0.468,55.0213,6
2019-08-31,14:30:52,0.4836,51.4021,6
2019-08-31,15:00:53,0.4524,52.0885,6
2019-08-31,15:31:02,0.468,61.0741,6
2019-08-31,16:00:46,0.4524,45.3649,6
2019-08-31,16:31:19,0.468,77.6881,6
2019-08-31,17:00:47,0.4992,45.7549,6
2019-08-31,17:30:51,0.4524,49.5925,6
2019-08-31,18:00:46,0.468,44.9437,6
2019-08-31,18:30:53,0.5928,51.0589,6
2019-08-31,19:00:48,0.4524,46.7065,6
2019-08-31,19:30:54,0.468,52.9153,6
2019-08-31,20:01:02,0.4836,60.9025,6
2019-08-31,20:31:43,0.858,101.3066,6
2019-08-31,21:00:51,0.4992,49.9669,6
2019-08-31,21:31:24,0.4992,82.4617,6
2019-08-31,22:01:04,0.546,62.6029,6
2019-08-31,22:31:01,0.4836,60.0133,6
2019-08-31,23:00:51,0.4524,50.1853,6
2019-08-31,23:30:57,1.4976,54.7249,6
2019-09-01,00:01:02,0.4836,61.0273,7
2019-09-01,00:30:47,0.468,46.2229,7
2019-09-01,01:00:52,0.5148,50.4661,7
2019-09-01,01:30:54,0.8892,52.8529,7
2019-09-01,02:00:48,0.4368,46.8001,7
2019-09-01,02:30:50,0.4836,48.5473,7
2019-09-01,03:00:48,0.4368,46.6597,7
2019-09-01,03:30:46,0.4524,44.6785,7
2019-09-01,04:00:47,0.4524,46.0825,7
2019-09-01,04:30:46,0.4524,45.2089,7
2019-09-01,05:00:53,0.7332,50.0917,7
2019-09-01,05:30:46,0.4836,44.9749,7
2019-09-01,06:00:46,0.4524,44.7409,7
2019-09-01,06:30:47,0.4836,45.9577,7
2019-09-01,07:00:48,0.4368,47.1277,7
2019-09-01,07:30:48,0.4524,46.6753,7
2019-09-01,08:00:47,0.4524,46.2229,7
2019-09-01,08:30:50,0.468,48.5941,7
2019-09-01,09:01:51,0.4524,110.3702,7
2019-09-01,09:31:18,0.4368,76.7521,7
2019-09-01,10:00:49,0.4524,47.6113,7
2019-09-01,10:31:16,0.4836,75.4417,7
2019-09-01,11:01:02,0.4524,61.3861,7
2019-09-01,11:30:50,0.5772,48.6877,7
2019-09-01,12:00:45,0.4836,44.4757,7
2019-09-01,12:30:48,0.5148,47.1121,7
2019-09-01,13:01:10,0.468,69.2641,7
2019-09-01,13:30:51,0.468,49.9201,7
2019-09-01,14:00:51,0.4524,49.4365,7
2019-09-01,14:31:11,0.4836,70.3093,7
2019-09-01,15:00:57,0.4524,55.6921,7
2019-09-01,15:31:15,0.702,73.3825,7
2019-09-01,16:01:34,1.482,92.1962,7
2019-09-01,16:30:50,0.468,49.4209,7
2019-09-01,17:00:47,0.468,45.5521,7
2019-09-01,17:30:49,0.468,47.5957,7
2019-09-01,18:01:17,0.468,75.8005,7
2019-09-01,18:30:54,0.5304,52.9309,7
2019-09-01,19:01:19,0.4836,78.0625,7
2019-09-01,19:31:13,0.4992,72.1033,7
2019-09-01,20:02:32,0.468,150.7119,7
2019-09-01,20:31:15,0.468,73.8973,7
2019-09-01,21:00:58,0.4836,57.4393,7
2019-09-01,21:31:06,0.468,65.2393,7
2019-09-01,22:00:48,0.468,47.3149,7
2019-09-01,22:32:48,0.468,166.9671,7
2019-09-01,23:01:28,0.4524,86.8142,7
2019-09-01,23:30:58,0.468,57.1117,7
