date,time,connection,download,dayOfWeek
2019-09-02,05:00:53,0.8736,48.5785,1
2019-09-02,05:30:51,0.4368,50.2789,1
2019-09-02,06:00:45,0.4212,44.2261,1
2019-09-02,06:31:21,4.4772,76.3153,1
2019-09-02,07:00:45,0.4836,44.4757,1
2019-09-03,00:00:51,0.468,49.8577,2
2019-09-03,00:31:01,0.4524,59.6701,2
2019-09-03,01:00:46,0.4992,44.8969,2
2019-09-03,01:30:50,0.4524,49.4677,2
2019-09-03,02:00:47,0.4524,46.3789,2
2019-09-03,02:30:50,0.468,48.7189,2
2019-09-03,03:00:48,0.4524,46.5973,2
2019-09-03,03:30:48,0.468,46.9093,2
2019-09-03,04:00:46,0.4368,44.5849,2
2019-09-03,04:30:49,0.8424,44.6005,2
2019-09-03,05:00:48,0.4992,46.8625,2
2019-09-03,05:30:52,0.4992,50.9341,2
2019-09-03,06:00:47,0.468,45.6301,2
2019-09-03,06:30:47,0.468,46.0045,2
2019-09-03,07:00:58,0.468,56.7061,2
2019-09-04,00:00:52,0.5304,51.6205,3
2019-09-04,00:30:52,0.468,49.9513,3
2019-09-04,01:00:49,0.4836,48.1729,3
2019-09-04,01:31:06,0.468,65.3485,3
2019-09-04,02:00:49,0.4212,47.6893,3
2019-09-04,02:31:21,5.46,74.5213,3
2019-09-04,03:00:52,5.4444,46.4725,3
2019-09-04,03:30:50,0.468,48.7813,3
2019-09-04,04:00:49,0.4524,47.7829,3
2019-09-04,04:30:53,0.5148,52.1197,3
2019-09-04,05:00:53,3.744,45.9577,3
2019-09-04,05:30:48,0.4524,46.8937,3
2019-09-04,06:00:51,0.4524,49.7173,3
2019-09-04,06:30:52,0.4836,50.9029,3
2019-09-04,07:00:53,0.4524,51.7297,3
2019-09-05,00:00:54,0.4836,53.0557,4
2019-09-05,00:31:02,0.546,61.4797,4
2019-09-05,01:00:59,0.4524,57.7201,4
2019-09-05,01:30:48,0.4368,46.6129,4
2019-09-05,02:01:08,0.4524,66.9553,4
2019-09-05,02:31:10,1.482,67.6105,4
2019-09-05,03:00:45,0.4524,44.5537,4
2019-09-05,03:30:54,0.5772,53.4457,4
2019-09-05,04:01:04,5.46,57.7045,4
2019-09-05,04:30:51,2.9952,47.0809,4
2019-09-05,05:00:53,0.8424,49.0621,4
2019-09-05,05:30:53,0.4524,52.5877,4
2019-09-05,06:01:04,2.7456,60.7153,4
2019-09-05,06:30:57,0.468,55.8169,4
2019-09-05,07:00:52,0.4836,51.4645,4
