date,time,connection,download
2019-08-17,09:31:32,0.4368,91.0730
2019-08-17,10:01:12,0.4524,71.1361
2019-08-17,10:31:04,0.4680,63.4453
2019-08-17,11:00:55,0.4368,54.1633
2019-08-17,11:31:01,0.4524,60.0913
2019-08-17,12:01:15,0.4524,73.6633
2019-08-17,12:30:53,0.6552,52.0729
2019-08-17,13:01:14,0.4524,73.5853
2019-08-17,13:31:04,0.4836,62.9773
2019-08-17,14:01:43,0.4992,102.2270
2019-08-17,14:30:49,0.4524,47.7517
2019-08-17,15:00:53,0.4524,52.2601
2019-08-17,15:30:49,0.4680,48.1885
2019-08-17,16:00:46,0.4524,45.1621
2019-08-17,16:31:08,0.5148,67.1737
2019-08-17,17:01:03,0.4524,62.5093
2019-08-17,17:31:36,0.4680,94.9106
2019-08-17,18:01:37,0.4680,95.9558
2019-08-17,18:31:39,0.4992,98.4518
2019-08-17,19:01:04,0.4680,63.5077
2019-08-17,19:30:57,0.4524,55.6609
2019-08-17,20:01:38,0.4680,96.6422
2019-08-17,20:30:55,0.4368,54.6001
2019-08-17,21:01:03,0.4524,61.6201
2019-08-17,21:31:39,0.4680,98.2334
2019-08-17,22:00:51,0.4680,49.9357
2019-08-17,22:30:52,0.4368,51.0745
2019-08-17,23:00:51,0.4680,49.6861
2019-08-17,23:31:07,0.4368,65.6917
2019-08-18,00:01:00,0.4524,59.2645
2019-08-18,00:30:53,0.4368,52.3693
2019-08-18,01:01:40,0.4368,99.1600
2019-08-18,01:30:54,0.4680,53.3053
2019-08-18,02:01:03,0.4524,62.4625
2019-08-18,02:31:01,0.4836,59.9509
2019-08-18,03:00:48,0.4368,47.2837
2019-08-18,03:30:50,0.4836,48.9841
2019-08-18,04:00:48,0.4212,46.7689
2019-08-18,04:31:06,0.5616,65.4421
2019-08-18,05:00:48,0.7956,45.0997
2019-08-18,05:30:45,0.4368,44.6161
2019-08-18,06:00:46,0.4524,45.3805
2019-08-18,06:30:52,0.4524,51.5113
2019-08-18,07:01:49,0.4368,108.0770
2019-08-18,07:30:53,0.4836,51.6829
2019-08-18,08:00:48,0.4524,47.4709
2019-08-18,08:31:39,1.4508,97.5002
2019-08-18,09:01:16,0.4524,75.5665
2019-08-18,09:31:08,0.4524,66.7525
2019-08-18,10:01:06,1.4508,63.9913
2019-08-18,10:31:53,1.4508,110.8070
2019-08-18,11:00:52,0.4212,51.9013
2019-08-18,11:30:47,0.4524,45.6145
2019-08-18,12:01:01,0.4524,59.7949
2019-08-18,12:30:51,0.4992,49.5613
2019-08-18,13:01:39,1.4508,97.0010
2019-08-18,13:31:07,0.4680,65.9881
2019-08-18,14:02:09,0.4524,128.4194
2019-08-18,14:30:53,0.4524,51.6049
2019-08-18,15:00:58,0.4524,57.3613
2019-08-18,15:30:46,0.5148,45.3961
2019-08-18,16:00:47,0.4680,46.5037
2019-08-18,16:30:57,0.4368,56.1133
2019-08-18,17:00:55,0.4524,54.5377
2019-08-18,17:30:52,0.4524,50.6533
2019-08-18,18:00:53,0.5148,52.5253
2019-08-18,18:31:01,0.4524,59.7949
2019-08-18,19:00:48,0.4368,46.9249
2019-08-18,19:31:01,0.4524,59.9665
2019-08-18,20:00:56,0.4212,55.1773
2019-08-18,20:30:54,0.4368,52.8373
2019-08-18,21:01:31,0.4680,90.1682
2019-08-18,21:31:53,0.4680,112.2266
2019-08-18,22:01:49,0.4680,107.5778
2019-08-18,22:33:02,0.4680,181.3659
2019-08-18,23:03:16,1.4664,194.5323
2019-08-18,23:32:44,0.4836,162.8643
2019-08-19,00:01:09,0.4680,68.3125
2019-08-19,00:31:03,0.4524,62.4781
2019-08-19,01:00:49,0.4212,48.3913
2019-08-19,01:30:53,0.4524,51.9169
2019-08-19,02:00:52,0.4212,50.7157
2019-08-19,02:30:54,3.4788,50.3257
2019-08-19,03:00:45,0.4836,44.0545
2019-08-19,03:30:48,0.5148,47.1745
2019-08-19,04:01:06,0.4368,65.5513
2019-08-19,04:30:49,0.4524,48.3133
2019-08-19,05:01:01,0.4368,60.3877
2019-08-19,05:30:47,0.7800,43.8985
2019-08-19,06:00:45,0.4368,43.9141
2019-08-19,06:30:52,0.4368,50.6845
2019-08-19,07:00:54,0.4524,52.6657
2019-08-19,07:30:57,0.5148,56.0041
2019-08-19,08:01:07,0.5304,66.4717
2019-08-19,08:31:42,0.4680,101.4938
2019-08-19,09:01:09,0.7488,67.6729
2019-08-19,09:31:46,0.4680,105.4874
2019-08-19,10:01:54,1.4664,111.9146
2019-08-19,10:31:30,0.4836,89.3882
2019-08-19,11:03:01,0.4680,179.9775
2019-08-19,11:31:48,0.6084,107.1254
2019-08-19,12:02:52,0.5148,171.2727
2019-08-19,12:31:08,0.5460,66.8617
2019-08-19,13:01:49,1.4976,106.7822
2019-08-19,13:31:44,1.4664,101.8682
2019-08-19,14:02:38,0.4992,157.5759
2019-08-19,14:31:12,0.5148,71.4637
2019-08-19,15:02:43,0.4524,161.8347
2019-08-19,15:30:56,0.4836,54.5845
2019-08-19,16:01:41,3.4788,97.4534
2019-08-19,16:31:15,0.4992,73.8973
2019-08-19,17:02:16,0.4992,135.4238
2019-08-19,17:31:38,1.0608,95.9558
2019-08-19,18:01:59,0.4524,118.0142
2019-08-19,18:30:52,0.4680,51.5113
2019-08-19,19:00:59,0.6864,58.1881
2019-08-19,19:30:59,0.5928,57.4237
2019-08-19,20:00:58,0.6240,57.3301
2019-08-19,20:30:48,0.6864,47.2369
2019-08-19,21:01:30,0.6708,88.4210
2019-08-19,21:31:12,1.1544,70.1845
2019-08-19,22:00:59,0.5616,57.6577
2019-08-19,22:30:55,0.5616,53.8045
2019-08-19,23:00:54,0.6084,52.5877
2019-08-19,23:30:48,0.8892,46.8781
2019-08-20,00:01:03,1.1076,61.7293
2019-08-20,00:30:54,0.6708,53.1025
2019-08-20,01:00:46,0.7332,44.9125
2019-08-20,01:30:53,0.7176,51.8701
2019-08-20,02:00:47,0.6396,46.2697
2019-08-20,02:30:55,1.2480,53.3989
2019-08-20,03:00:45,0.8580,43.9921
2019-08-20,03:30:52,0.6396,51.0589
2019-08-20,04:01:31,0.9828,89.7314
2019-08-20,04:30:49,1.0608,45.3961
2019-08-20,05:01:37,4.1808,92.1338
2019-08-20,05:30:47,0.7020,46.3477
2019-08-20,06:00:48,0.5304,47.2993
2019-08-20,06:30:48,0.7956,46.4881
2019-08-20,07:00:52,0.6396,50.9341
2019-08-20,07:30:57,1.6692,55.1305
2019-08-20,08:01:34,0.6084,93.1166
2019-08-20,08:30:59,0.4992,57.6889
2019-08-20,09:01:30,0.5460,89.2166
2019-08-20,09:32:14,0.4680,133.1930
2019-08-20,10:01:04,0.5148,62.8681
2019-08-20,10:31:27,1.3884,85.2541
2019-08-20,11:02:58,12.5580,164.8455
2019-08-20,11:31:20,0.4680,79.4821
2019-08-20,12:01:33,0.5616,92.4614
2019-08-20,12:31:04,0.4992,63.4141
2019-08-20,13:01:12,0.4524,71.0269
2019-08-20,13:31:11,0.4992,70.4029
2019-08-20,14:02:57,0.4368,175.9215
2019-08-20,14:31:59,23.0412,96.0182
2019-08-20,15:01:57,0.4680,115.7210
2019-08-20,15:30:54,0.4836,53.5549
2019-08-20,16:01:08,0.4836,67.1269
2019-08-20,16:31:10,1.4976,68.2189
2019-08-20,17:02:09,0.4836,127.8266
2019-08-20,17:31:05,0.4524,64.4593
2019-08-20,18:01:30,0.4368,89.4350
2019-08-20,18:30:57,0.4368,56.1133
2019-08-20,19:00:53,2.9172,49.3117
2019-08-20,19:30:55,0.4680,54.3661
2019-08-20,20:01:00,0.5148,59.2957
2019-08-20,20:30:49,0.4680,48.0949
2019-08-20,21:01:18,10.4520,66.6901
2019-08-20,21:30:55,0.4836,53.9605
2019-08-20,22:01:06,0.4992,65.0365
2019-08-20,22:31:22,0.4524,81.3229
2019-08-20,23:01:30,0.4680,89.1698
2019-08-20,23:31:08,0.4524,67.3453
2019-08-21,00:01:01,0.4680,60.4345
2019-08-21,00:30:48,0.4680,47.0809
2019-08-21,01:00:46,0.4836,44.7097
2019-08-21,01:31:08,0.4524,66.8773
2019-08-21,02:00:47,0.4368,45.8953
2019-08-21,02:30:56,0.4524,54.6781
2019-08-21,03:00:54,5.4912,48.3757
2019-08-21,03:31:13,0.4524,72.5869
2019-08-21,04:00:50,0.4212,49.5613
2019-08-21,04:30:51,0.4368,49.6393
2019-08-21,05:00:46,0.4212,44.7097
2019-08-21,05:30:47,0.7644,43.7737
2019-08-21,06:00:50,0.4680,48.9373
2019-08-21,06:30:59,0.4836,57.8293
2019-08-21,07:00:48,0.4524,46.9093
2019-08-21,07:30:57,0.4212,56.5033
2019-08-24,08:31:11,0.5460,69.3265
2019-08-24,09:01:05,0.4524,64.3033
2019-08-24,09:31:30,0.4680,89.2634
2019-08-24,10:00:57,0.4368,55.4581
2019-08-24,10:30:48,0.4524,46.9249
2019-08-24,11:01:06,0.4524,64.6621
2019-08-24,11:31:06,0.4680,64.5217
2019-08-24,12:00:55,0.5148,54.4597
2019-08-24,12:30:55,0.6708,54.1633
2019-08-24,13:02:19,0.4680,137.7794
2019-08-24,13:30:52,0.4992,50.5597
2019-08-24,14:00:59,0.4836,57.4861
2019-08-24,14:31:02,0.4680,60.8089
2019-08-24,15:00:52,0.4680,51.2617
2019-08-24,15:30:45,0.4524,43.9297
2019-08-24,16:01:01,0.4836,60.2629
2019-08-24,16:30:58,0.4836,57.3145
2019-08-24,17:00:50,0.4992,48.8437
2019-08-24,17:30:50,0.4836,49.0777
2019-08-24,18:01:08,0.4680,66.9085
2019-08-24,18:30:55,0.4680,53.8201
2019-08-24,19:00:46,0.4836,45.4585
2019-08-24,19:30:58,0.4836,57.1585
2019-08-24,20:02:36,0.4836,154.6119
2019-08-24,20:31:11,0.4524,70.2625
2019-08-24,21:00:57,0.4680,55.6141
2019-08-24,21:31:12,0.4524,71.3389
2019-08-24,22:02:06,3.4788,121.4618
2019-08-24,22:32:17,1.4664,135.3770
2019-08-24,23:02:03,0.4836,122.2886
2019-08-24,23:31:30,0.5304,88.9202
2019-08-25,00:01:36,0.5304,94.8326
2019-08-25,00:31:10,0.4836,68.8273
2019-08-25,01:01:18,0.4524,76.8613
2019-08-25,01:32:33,0.4836,152.3967
2019-08-25,02:00:49,0.4524,47.4709
2019-08-25,02:30:49,0.4992,47.4553
2019-08-25,03:00:47,0.4524,45.9421
2019-08-25,03:30:47,0.4524,46.3945
2019-08-25,04:01:10,0.4680,68.6713
2019-08-25,04:30:46,0.5772,44.8969
2019-08-25,05:00:48,0.4524,47.1433
2019-08-25,05:30:50,0.8580,46.4257
2019-08-25,06:00:47,0.4212,46.4101
2019-08-25,06:30:48,0.4524,47.4241
2019-08-25,07:00:52,0.4524,51.3241
2019-08-25,07:30:56,0.4524,54.4753
2019-08-25,08:00:52,0.5304,50.4817
2019-08-25,08:30:50,0.4836,49.0933
2019-08-25,09:00:54,0.4680,53.4301
2019-08-25,09:31:22,0.4680,81.0733
2019-08-25,10:00:55,0.4680,53.5393
2019-08-25,10:31:21,3.4632,77.0017
2019-08-25,11:01:25,1.4352,83.0857
2019-08-25,11:30:59,0.4680,57.8761
2019-08-25,12:01:06,0.4680,65.0209
2019-08-25,12:31:06,0.4836,65.0677
2019-08-25,13:00:46,0.4524,44.6317
2019-08-25,13:30:51,0.5304,49.2493
2019-08-25,14:00:56,0.4680,54.8497
2019-08-25,14:30:55,0.4680,54.0541
2019-08-25,15:01:02,0.4524,60.8713
2019-08-25,15:30:47,0.4524,46.5505
2019-08-25,16:00:46,0.4680,45.2089
2019-08-25,16:30:48,0.4992,47.5333
2019-08-25,17:00:54,0.4524,52.7125
2019-08-25,17:30:49,0.5148,47.9857
2019-08-25,18:01:02,0.4524,61.3081
2019-08-25,18:31:20,0.4524,78.8737
2019-08-25,19:01:40,0.4992,99.0602
2019-08-25,19:31:22,0.4836,81.4165
2019-08-25,20:00:56,0.4680,54.9589
2019-08-25,20:30:56,0.4368,54.6625
